Filename,Feature Type,Feature Value,Combined Feature
/twenty/packages/twenty-server/@types/express.d.ts,importSources,src/engine/core-modules/user/user.entity',importSources_'src/engine/core-modules/user/user.entity'
/twenty/packages/twenty-server/@types/express.d.ts,importSources,src/engine/core-modules/workspace/workspace.entity',importSources_'src/engine/core-modules/workspace/workspace.entity'
/twenty/packages/twenty-server/@types/express.d.ts,importSources,src/modules/api-key/standard-objects/api-key.workspace-entity',importSources_'src/modules/api-key/standard-objects/api-key.workspace-entity'
/twenty/packages/twenty-server/@types/jest.d.ts,importSources,jest',importSources_'jest'
/twenty/packages/twenty-server/jest-integration.config.ts,importSources,ts-jest',importSources_'ts-jest'
/twenty/packages/twenty-server/scripts/setup-db.ts,importSources,console',importSources_'console'
/twenty/packages/twenty-server/scripts/setup-db.ts,importSources,src/database/typeorm/raw/raw.datasource',importSources_'src/database/typeorm/raw/raw.datasource'
/twenty/packages/twenty-server/scripts/setup-db.ts,importSources,./utils',importSources_'./utils'
/twenty/packages/twenty-server/scripts/truncate-db.ts,importSources,console',importSources_'console'
/twenty/packages/twenty-server/scripts/truncate-db.ts,importSources,src/database/typeorm/raw/raw.datasource',importSources_'src/database/typeorm/raw/raw.datasource'
/twenty/packages/twenty-server/scripts/truncate-db.ts,importSources,./utils',importSources_'./utils'
/twenty/packages/twenty-server/scripts/utils.ts,importSources,console',importSources_'console'
/twenty/packages/twenty-server/scripts/utils.ts,importSources,src/database/typeorm/raw/raw.datasource',importSources_'src/database/typeorm/raw/raw.datasource'
/twenty/packages/twenty-server/src/app.module.ts,importSources,@nestjs/common',importSources_'@nestjs/common'
/twenty/packages/twenty-server/src/app.module.ts,importSources,@nestjs/config',importSources_'@nestjs/config'
/twenty/packages/twenty-server/src/app.module.ts,importSources,@nestjs/graphql',importSources_'@nestjs/graphql'
/twenty/packages/twenty-server/src/app.module.ts,importSources,@nestjs/serve-static',importSources_'@nestjs/serve-static'
/twenty/packages/twenty-server/src/app.module.ts,importSources,fs',importSources_'fs'
/twenty/packages/twenty-server/src/app.module.ts,importSources,path',importSources_'path'
/twenty/packages/twenty-server/src/app.module.ts,importSources,@graphql-yoga/nestjs',importSources_'@graphql-yoga/nestjs'
/twenty/packages/twenty-server/src/app.module.ts,importSources,@sentry/nestjs/setup',importSources_'@sentry/nestjs/setup'
/twenty/packages/twenty-server/src/app.module.ts,importSources,src/engine/api/graphql/core-graphql-api.module',importSources_'src/engine/api/graphql/core-graphql-api.module'
/twenty/packages/twenty-server/src/app.module.ts,importSources,src/engine/api/graphql/graphql-config/graphql-config.module',importSources_'src/engine/api/graphql/graphql-config/graphql-config.module'
/twenty/packages/twenty-server/src/app.module.ts,importSources,src/engine/api/graphql/graphql-config/graphql-config.service',importSources_'src/engine/api/graphql/graphql-config/graphql-config.service'
/twenty/packages/twenty-server/src/app.module.ts,importSources,src/engine/api/graphql/metadata-graphql-api.module',importSources_'src/engine/api/graphql/metadata-graphql-api.module'
/twenty/packages/twenty-server/src/app.module.ts,importSources,src/engine/api/rest/rest-api.module',importSources_'src/engine/api/rest/rest-api.module'
/twenty/packages/twenty-server/src/app.module.ts,importSources,src/engine/metadata-modules/data-source/data-source.module',importSources_'src/engine/metadata-modules/data-source/data-source.module'
/twenty/packages/twenty-server/src/app.module.ts,importSources,src/engine/metadata-modules/workspace-metadata-cache/workspace-metadata-cache.module',importSources_'src/engine/metadata-modules/workspace-metadata-cache/workspace-metadata-cache.module'
/twenty/packages/twenty-server/src/app.module.ts,importSources,src/engine/middlewares/graphql-hydrate-request-from-token.middleware',importSources_'src/engine/middlewares/graphql-hydrate-request-from-token.middleware'
/twenty/packages/twenty-server/src/app.module.ts,importSources,src/engine/middlewares/middleware.module',importSources_'src/engine/middlewares/middleware.module'
/twenty/packages/twenty-server/src/app.module.ts,importSources,src/engine/middlewares/rest-core.middleware',importSources_'src/engine/middlewares/rest-core.middleware'
/twenty/packages/twenty-server/src/app.module.ts,importSources,src/engine/twenty-orm/twenty-orm.module',importSources_'src/engine/twenty-orm/twenty-orm.module'
/twenty/packages/twenty-server/src/app.module.ts,importSources,src/engine/workspace-cache-storage/workspace-cache-storage.module',importSources_'src/engine/workspace-cache-storage/workspace-cache-storage.module'
/twenty/packages/twenty-server/src/app.module.ts,importSources,src/modules/modules.module',importSources_'src/modules/modules.module'
/twenty/packages/twenty-server/src/app.module.ts,importSources,./engine/core-modules/core-engine.module',importSources_'./engine/core-modules/core-engine.module'
/twenty/packages/twenty-server/src/app.module.ts,importSources,./engine/core-modules/i18n/i18n.module',importSources_'./engine/core-modules/i18n/i18n.module'
/twenty/packages/twenty-server/src/command/command-logger.ts,importSources,@nestjs/common',importSources_'@nestjs/common'
/twenty/packages/twenty-server/src/command/command-logger.ts,importSources,fs',importSources_'fs'
/twenty/packages/twenty-server/src/command/command-logger.ts,importSources,fs/promises',importSources_'fs/promises'
/twenty/packages/twenty-server/src/command/command-logger.ts,importSources,path',importSources_'path'
/twenty/packages/twenty-server/src/command/command-logger.ts,importSources,src/utils/kebab-case',importSources_'src/utils/kebab-case'
/twenty/packages/twenty-server/src/command/command.module.ts,importSources,@nestjs/common',importSources_'@nestjs/common'
/twenty/packages/twenty-server/src/command/command.module.ts,importSources,src/app.module',importSources_'src/app.module'
/twenty/packages/twenty-server/src/command/command.module.ts,importSources,src/database/commands/database-command.module',importSources_'src/database/commands/database-command.module'
/twenty/packages/twenty-server/src/command/command.module.ts,importSources,src/engine/metadata-modules/field-metadata/field-metadata.module',importSources_'src/engine/metadata-modules/field-metadata/field-metadata.module'
/twenty/packages/twenty-server/src/command/command.module.ts,importSources,src/engine/metadata-modules/object-metadata/object-metadata.module',importSources_'src/engine/metadata-modules/object-metadata/object-metadata.module'
/twenty/packages/twenty-server/src/command/command.module.ts,importSources,src/engine/workspace-manager/workspace-cleaner/workspace-cleaner.module',importSources_'src/engine/workspace-manager/workspace-cleaner/workspace-cleaner.module'
/twenty/packages/twenty-server/src/command/command.module.ts,importSources,src/engine/workspace-manager/workspace-health/commands/workspace-health-command.module',importSources_'src/engine/workspace-manager/workspace-health/commands/workspace-health-command.module'
/twenty/packages/twenty-server/src/command/command.module.ts,importSources,src/engine/workspace-manager/workspace-migration-runner/commands/workspace-migration-runner-commands.module',importSources_'src/engine/workspace-manager/workspace-migration-runner/commands/workspace-migration-runner-commands.module'
/twenty/packages/twenty-server/src/command/command.module.ts,importSources,src/engine/workspace-manager/workspace-sync-metadata/commands/workspace-sync-metadata-commands.module',importSources_'src/engine/workspace-manager/workspace-sync-metadata/commands/workspace-sync-metadata-commands.module'
/twenty/packages/twenty-server/src/command/command.ts,importSources,nest-commander',importSources_'nest-commander'
/twenty/packages/twenty-server/src/command/command.ts,importSources,src/engine/core-modules/exception-handler/exception-handler.service',importSources_'src/engine/core-modules/exception-handler/exception-handler.service'
/twenty/packages/twenty-server/src/command/command.ts,importSources,src/engine/core-modules/logger/logger.service',importSources_'src/engine/core-modules/logger/logger.service'
/twenty/packages/twenty-server/src/command/command.ts,importSources,src/engine/utils/global-exception-handler.util',importSources_'src/engine/utils/global-exception-handler.util'
/twenty/packages/twenty-server/src/command/command.ts,importSources,./command.module',importSources_'./command.module'
/twenty/packages/twenty-server/src/constants/assets-path.ts,importSources,path',importSources_'path'
/twenty/packages/twenty-server/src/database/commands/command-runners/active-or-suspended-workspaces-migration.command-runner.ts,importSources,chalk',importSources_'chalk'
/twenty/packages/twenty-server/src/database/commands/command-runners/active-or-suspended-workspaces-migration.command-runner.ts,importSources,nest-commander',importSources_'nest-commander'
/twenty/packages/twenty-server/src/database/commands/command-runners/active-or-suspended-workspaces-migration.command-runner.ts,importSources,twenty-shared',importSources_'twenty-shared'
/twenty/packages/twenty-server/src/database/commands/command-runners/active-or-suspended-workspaces-migration.command-runner.ts,importSources,typeorm',importSources_'typeorm'
/twenty/packages/twenty-server/src/database/commands/command-runners/active-or-suspended-workspaces-migration.command-runner.ts,importSources,src/database/commands/command-runners/migration.command-runner',importSources_'src/database/commands/command-runners/migration.command-runner'
/twenty/packages/twenty-server/src/database/commands/command-runners/active-or-suspended-workspaces-migration.command-runner.ts,importSources,src/engine/core-modules/workspace/workspace.entity',importSources_'src/engine/core-modules/workspace/workspace.entity'
/twenty/packages/twenty-server/src/database/commands/command-runners/active-or-suspended-workspaces-migration.command-runner.ts,importSources,src/engine/twenty-orm/datasource/workspace.datasource',importSources_'src/engine/twenty-orm/datasource/workspace.datasource'
/twenty/packages/twenty-server/src/database/commands/command-runners/active-or-suspended-workspaces-migration.command-runner.ts,importSources,src/engine/twenty-orm/twenty-orm-global.manager',importSources_'src/engine/twenty-orm/twenty-orm-global.manager'
/twenty/packages/twenty-server/src/database/commands/command-runners/migration.command-runner.ts,importSources,@nestjs/common',importSources_'@nestjs/common'
/twenty/packages/twenty-server/src/database/commands/command-runners/migration.command-runner.ts,importSources,chalk',importSources_'chalk'
/twenty/packages/twenty-server/src/database/commands/command-runners/migration.command-runner.ts,importSources,nest-commander',importSources_'nest-commander'
/twenty/packages/twenty-server/src/database/commands/command-runners/migration.command-runner.ts,importSources,src/database/commands/logger',importSources_'src/database/commands/logger'
/twenty/packages/twenty-server/src/database/commands/data-seed-demo-workspace/data-seed-demo-workspace.module.ts,importSources,@nestjs/common',importSources_'@nestjs/common'
/twenty/packages/twenty-server/src/database/commands/data-seed-demo-workspace/data-seed-demo-workspace.module.ts,importSources,@nestjs/typeorm',importSources_'@nestjs/typeorm'
/twenty/packages/twenty-server/src/database/commands/data-seed-demo-workspace/data-seed-demo-workspace.module.ts,importSources,src/database/commands/data-seed-demo-workspace/services/data-seed-demo-workspace.service',importSources_'src/database/commands/data-seed-demo-workspace/services/data-seed-demo-workspace.service'
